"Date","Price","Open","High","Low","Vol.","Change %"
"08/01/2015","134.04","143.11","143.99","125.50","99.66M","-6.10%"
"09/01/2015","130.40","131.79","134.66","127.67","100.65M","-2.72%"
"10/01/2015","136.02","130.55","138.50","127.46","70.21M","4.31%"
"11/01/2015","134.09","136.77","138.62","131.47","60.93M","-1.42%"
"12/01/2015","132.04","134.86","136.74","129.53","88.19M","-1.53%"
"01/01/2016","129.77","130.16","131.76","123.90","103.40M","-1.72%"
"02/01/2016","134.17","128.94","135.11","123.55","96.04M","3.39%"
"03/01/2016","141.88","135.11","143.40","134.32","85.84M","5.75%"
"04/01/2016","145.48","141.21","148.03","140.27","61.19M","2.54%"
"05/01/2016","140.54","145.77","147.14","139.68","64.50M","-3.40%"
"06/01/2016","144.79","140.97","146.00","136.65","89.98M","3.02%"
"07/01/2016","144.27","144.59","146.99","140.95","61.23M","-0.36%"
"08/01/2016","150.49","144.62","150.90","142.91","62.48M","4.31%"
"09/01/2016","144.47","150.70","151.05","143.36","79.26M","-4.00%"
"10/01/2016","144.30","144.27","145.71","141.92","58.78M","-0.12%"
"11/01/2016","157.44","144.68","159.09","142.35","88.39M","9.11%"
"12/01/2016","162.98","157.58","167.25","157.51","82.83M","3.52%"
"01/01/2017","164.14","164.34","165.30","158.61","68.22M","0.71%"
"02/01/2017","171.42","164.75","172.20","162.15","65.29M","4.44%"
"03/01/2017","166.68","173.70","177.86","165.80","91.10M","-2.77%"
"04/01/2017","165.21","166.72","168.95","162.28","71.14M","-0.88%"
"05/01/2017","165.28","165.80","168.04","160.93","77.06M","0.04%"
"06/01/2017","169.37","165.80","171.95","164.75","74.75M","2.47%"
"07/01/2017","174.97","170.40","175.60","168.00","56.31M","3.31%"
"08/01/2017","181.16","175.93","181.87","174.81","68.41M","3.54%"
"09/01/2017","183.32","181.60","184.00","172.61","69.48M","1.19%"
"10/01/2017","186.94","183.45","190.68","182.93","58.81M","1.97%"
"11/01/2017","193.01","188.10","193.81","180.44","67.33M","3.25%"
"12/01/2017","198.22","193.59","200.50","189.72","78.50M","2.70%"
"01/01/2018","214.38","198.87","217.62","195.96","86.83M","8.15%"
"02/01/2018","207.20","214.49","217.50","189.30","113.73M","-3.35%"
"03/01/2018","199.48","206.82","213.36","191.87","100.51M","-3.73%"
