Date,BRKB,SPY,GLD,QQQ,Balanced
2015-03-01,25956.836562035554,17616.75544120368,25190.604244848444,21600.31017379893,23951.953965192566
2015-04-01,25397.483918923685,17766.86464017584,25148.49377368175,21910.094520298233,23953.627992323887
2015-05-01,25719.425166272093,17953.263609469825,25288.12082783329,22191.78045216777,24201.803549206685
2015-06-01,24480.216608945357,17576.035523542025,24904.699779851722,21635.771552986884,23539.821844747217
2015-07-01,25672.663563039863,17923.022134201645,23255.763029512247,22232.12926658877,23705.34895902463
2015-08-01,24107.913123148996,16801.384743425315,24117.908304719578,20877.068086407155,22796.06811863806
2015-09-01,23453.236955964807,16357.108561384528,23683.511334225062,20239.16235336851,22214.475510450327
2015-10-01,24464.03021679419,17714.472428208475,24224.292029962617,22074.85989111334,23539.588750172807
2015-11-01,24116.906478028508,17723.415918143357,22588.652611186553,22155.545952061297,23091.597027858497
2015-12-01,23748.200883061276,17412.721157686938,22486.702457072606,21643.83823109934,22742.752685989686
2016-01-01,23339.92946652006,16529.281142037908,23703.457331570167,20688.65794016873,22419.346317825974
2016-02-01,24131.29529695841,16461.042313834758,26294.326728321263,20671.57601663232,23244.237959501577
2016-03-01,25517.98719002668,17547.32484096967,26072.69551740088,21948.85853323538,24206.168254893717
2016-04-01,26165.46757555262,17594.692059522462,27404.699568487726,22149.023587803546,24769.15596920523
2016-05-01,25276.97790343409,17864.323721889494,25722.517798327808,22525.813032562946,24312.569822914167
2016-06-01,26041.3664136205,17880.59671380822,28029.699515646727,22487.16662654857,25036.66375138095
2016-07-01,25947.843207156042,18517.321200137314,28585.992637600284,23428.50207629238,25616.264407095965
2016-08-01,27066.548493379785,18494.74408775519,27655.142228099456,23456.563859257676,25665.203612966667
2016-09-01,25983.813882287493,18471.91322984468,27845.74520476394,23340.023110724316,25410.67219357138
2016-10-01,25953.23867120643,18113.08377460617,27025.7104007233,23051.228707965525,25009.53537158847
2016-11-01,28316.5479788073,18732.089751457297,24767.28782035278,23900.402745871008,25483.905805167822
2016-12-01,29312.949676320182,19073.028067063282,24292.997164256118,24242.02000879353,25793.10339238055
2017-01-01,29521.583434223845,19414.13693294244,25609.48709821501,24821.26495114156,26449.109728608513
2017-02-01,30830.935768592222,20136.307106133125,26425.0900220385,25796.527106130317,27459.089853442896
2017-03-01,29978.41677160515,20128.470113092513,26312.05763101376,25716.89372354025,27214.31199181576
2017-04-01,29714.030799976343,20311.46223668572,26766.400598853375,26085.15955837251,27432.103446692887
2017-05-01,29726.619301298382,20546.592826717908,26733.15726994488,26453.30007435264,27604.487630981836
2017-06-01,30462.23017362499,20645.499505872183,26156.914768822324,26492.738881108944,27670.014994299072
2017-07-01,31469.42554362525,21044.96568351714,26761.968718636224,27169.125213680698,28370.65873344534
2017-08-01,32582.7353657986,21056.465347668294,27885.638890366088,27248.401919537777,28943.73466965057
2017-09-01,32971.22524374613,21462.91784686936,26945.923029519006,27660.166891935336,29035.27652297799
2017-10-01,33622.30352010119,21939.139966969407,26744.23781594373,28452.461594832777,29501.006848478828
2017-11-01,34714.02874168639,22555.24866905791,26839.539304275968,29322.132012999617,30212.871675815364
2017-12-01,35651.08033464501,22777.003541934,27404.699568487726,29526.825898085503,30702.795715171796
2018-01-01,38557.55589320658,24056.586084782415,28291.224412169257,31350.365579191443,32482.92083816538
2018-02-01,37266.18752421063,23119.64528039037,27703.901365047852,30210.444092416292,31429.257820137012
2018-03-01,35877.698057921094,22498.08520920435,27878.990224584388,29265.16399080391,30724.773815475637
2018-04-01,34843.525367668895,22559.252440714805,27613.03175693276,29534.223566325818,30514.699691500442
2018-05-01,34447.84245244973,23046.72047943762,27282.801726116733,30252.167558246034,30683.85151010803
2018-06-01,33570.143708431984,23158.322754536664,26296.543513885812,30290.131458511893,30257.874049342627
2018-07-01,35588.12959487502,23992.521578509335,25707.003681199854,31553.324280170924,31139.450760302454
2018-08-01,37539.56959510555,24718.612328101706,25157.359225028,32560.50611078823,31916.526819942195
2018-09-01,38508.993972366494,24824.761154221855,24991.135816837716,32606.49234557271,32132.65698439173
2018-10-01,36920.864103052816,23101.839415894436,25520.83427566447,30490.64740586602,30817.965925612352
2018-11-01,39251.80062635136,23514.423405404345,25607.270312650464,31056.226809384916,31642.068175822213
2018-12-01,36723.02127324993,21356.34264506627,26872.784324096418,28157.347265961984,30058.981698957978
2019-01-01,36967.62570628504,23036.753687863675,27648.493562317755,30589.367813626573,31532.690805577407
2019-02-01,36205.0375137065,23721.61078909348,27480.053368562916,31580.95612307429,31809.937448286208
2019-03-01,36131.29584583573,24146.80301953019,27041.224517851257,32011.578690743823,31912.240381603267
2019-04-01,38976.620982235174,25096.098319320656,26861.702087185622,33466.090983993025,33120.04977594701
2019-05-01,35507.19488973261,23445.333905716692,27333.777648629675,31331.926356087348,31467.737866801646
2019-06-01,38339.92878042341,25061.424616831257,29521.27661823021,33349.99174341563,33773.91160654122
2019-07-01,36947.84142330475,25390.434812721764,29523.49509470671,34018.88593661237,33744.466485308025
2019-08-01,36584.5340367745,24931.08053061518,31859.48656980503,33449.30211377236,34039.147577276344
2019-09-01,37413.67085995217,25359.425861224285,30777.925178329915,33943.39771605428,34179.35393724823
2019-10-01,38233.814328250315,25877.563830779607,31566.931748114654,34853.93364790936,34990.626613311375
2019-11-01,39622.303794539854,26758.618222485537,30554.07887275693,36115.57829974901,35619.16021688667
2019-12-01,40737.411189934464,27523.642271633966,31671.098687793146,36983.10094558858,36663.80568750625
2020-01-01,40365.10770413811,27478.831227297447,33096.18913255963,37149.91768961393,37021.685605104416
2020-02-01,37111.511151197454,25167.573442951405,32885.64015855005,34208.91558801678,34734.81352388035
2020-03-01,32883.09475694546,22018.624713795325,32812.50145312746,29762.19205422566,31618.881159709315
2020-04-01,33697.84276119322,24811.555987338932,35195.03697052157,33738.730822721154,34406.271489842155
2020-05-01,33377.699087066074,25935.068391179517,36105.9413826773,35346.22465872062,35370.033504805266
2020-06-01,32106.115001050413,26411.97271237227,37094.41468956082,35815.46471266942,35555.232250361274
2020-07-01,35212.23096263614,27867.3073117294,41097.07381769111,38091.60596012605,38423.99399334935
2020-08-01,39215.8272068333,29819.820915973523,40964.09712023322,40750.26661585791,40782.88909538043
2020-09-01,38298.56264124157,28650.049870355797,39255.318996034555,39068.04418434249,39301.72751797447
2020-10-01,36312.94953910086,27857.423715410667,39051.418687806676,38246.426798029104,38249.97056549215
2020-11-01,41170.86509789295,30853.368050713336,36939.273518281334,42406.758195057635,41081.913019833315
2020-12-01,41703.23767636629,31998.69009070675,39530.14291503243,43791.18833023137,42651.625503973366
2021-01-01,40983.813196190844,31642.331534547924,38255.76345224024,43529.69994136042,41935.879031791424
2021-02-01,43257.194443769775,32467.925889250688,35862.14569793532,44740.0641189087,42405.44430236744
2021-03-01,45947.843207156046,33845.82026517864,35452.12998682695,46618.54744075286,43876.27682027756
2021-04-01,49451.4424015688,35620.198268852335,36715.42721270835,49245.92851099321,46328.50732842343
2021-05-01,52057.55582459692,35815.62808309917,39534.57648616153,49569.289709133984,47905.82479862888
2021-06-01,49985.615297649994,36611.23678794351,36708.77854692665,50515.7246721683,47067.827411142825
2021-07-01,50052.16118386251,37444.07120973077,37637.41386177488,51918.235425730796,47981.808658837035
2021-08-01,51397.48144897575,38529.590420399145,37608.600722171584,53463.32047336979,49018.88441231235
2021-09-01,49089.929843873215,36696.76982982307,36396.277727891174,50808.870531069486,46866.52520458954
2021-10-01,51620.506770195905,39234.12527936707,36934.839947152235,54547.98405828522,49363.7442286067
2021-11-01,49764.390294037694,38907.159606873305,36679.965407323354,54109.70354475941,48644.284144144105
2021-12-01,53776.979893114374,40604.01419186261,37890.07330695116,56413.96248666921,51074.31645522973
2022-01-01,56298.56072017095,38468.845404808875,37253.989431969414,53626.35837200785,50185.74028701837
2022-02-01,57814.75198360833,37262.44348832298,39534.57648616153,52043.46944663727,50579.54188407047
2022-03-01,63473.023983331695,38595.4436246592,40037.6769000376,53832.57150717802,52947.82005898514
2022-04-01,58062.94881869937,35200.715312804285,39208.77833556266,49260.2881234649,49262.235019903106
2022-05-01,56830.93878741748,35202.58720604647,37929.96530164136,49371.47872100351,48562.755610817694
2022-06-01,49104.31591841652,32248.386090044514,37335.995279650204,45105.45147610666,44654.12878323436
2022-07-01,54064.75078293919,35186.74266969207,36369.68306476438,49471.876473400254,47491.62594606985
2022-08-01,50503.59631280683,33693.41279728135,35299.20391020006,47453.33294645154,45376.83200805856
2022-09-01,48025.17919815335,30546.5938666586,34279.69898723674,42890.276886219835,42313.692785517174
2022-10-01,53073.741805090096,32986.1491339426,33667.99806255309,46566.71556351212,44941.82319998703
2022-11-01,57302.16094372868,34759.25009044885,36527.03933069647,49155.425163967666,48008.34396756158
2022-12-01,55557.554383793955,32709.445874882866,37597.518485260785,46110.948250158406,46543.53196218568
2023-01-01,56028.77654010516,34729.34763584564,39762.85636286362,49235.80274774115,48814.15825271884
2023-02-01,54888.48939767987,33822.4777564486,37628.546719516686,47997.88384658312,47258.636307800756
2023-03-01,55534.17220998454,35008.01014316552,40607.27073537845,49588.27647922276,49170.302508790475
2023-04-01,59091.72604490118,35520.60938860535,40957.44845445152,50572.72354208145,50447.86796344003
2023-05-01,57748.20060862262,35608.78387983777,40407.80399827966,50806.18677965157,50073.3101640339
2023-06-01,61330.936934956524,37913.65018870244,39510.19691768733,53898.2077379764,52144.011270749135
2023-07-01,63302.15847378075,39094.24077726,40414.452664061355,55869.23035619763,53752.14598010981
